T7Hi	890	1468	T7p01	0.3	12693
T7Hi	1277	1433	T7p02	0.4	0
T7Hi	1468	3138	T7p03	0.7	17601
T7Hi	1495	1639	T7p04	0.5	1
T7Hi	1635	1972	T7p05	0.6B	3
T7Hi	1635	1797	T7p06	0.6A	2
T7Hi	3138	5887	T7p07	1	83044
T7Hi	5887	6448	T7p08	1.2	96795
T7Hi	6006	6135	T7p09	1.1	28033
T7Hi	6448	7588	T7p10	1.3	176444
T7Hi	7607	7763	T7p11	1.4	10167
T7Hi	7790	7880	T7p12	1.5	21034
T7Hi	7905	8166	T7p13	1.6	41232
T7Hi	8165	8756	T7p14	1.7	86143
T7Hi	8748	8895	T7p15	1.8	28709
T7Hi	8897	9092	T7p16	2	20176
T7Hi	9157	9856	T7p17	2.5	101889
T7Hi	9856	10276	T7p18	2.8	78627
T7Hi	10256	10706	T7p19	3	131560
T7Hi	10705	11161	T7p20	3.5	209733
T7Hi	11224	11590	T7p21	3.8	7166
T7Hi	11564	13265	T7p22	4A	45210
T7Hi	11634	11757	T7p23	4.1	5120
T7Hi	11753	13265	T7p24	4B	41569
T7Hi	12987	13326	T7p25	4.2	17898
T7Hi	13351	13564	T7p26	4.3	25825
T7Hi	13583	13853	T7p27	4.5	18066
T7Hi	13926	14334	T7p28	4.7	14103
T7Hi	14352	16467	T7p29	5	82042
T7Hi	16482	16839	T7p30	5.3	28057
T7Hi	16850	17359	T7p31	5.5-5.7	47322
T7Hi	16850	17150	T7p32	5.5	31558
T7Hi	17149	17359	T7p33	5.7	26091
T7Hi	17358	17517	T7p34	5.9	18465
T7Hi	17503	18406	T7p35	6	98635
T7Hi	18393	18507	T7p36	6.3	21988
T7Hi	18604	18859	T7p37	6.5	194319
T7Hi	18863	19130	T7p38	6.7	215258
T7Hi	19129	19531	T7p39	7	341178
T7Hi	19534	19834	T7p40	7.3	303183
T7Hi	19847	20240	T7p41	7.7	285282
T7Hi	20239	21850	T7p42	8	512638
T7Hi	21949	22873	T7p43	9	307949
T7Hi	22966	24162	T7p44	10B	635234
T7Hi	22966	24004	T7p45	10A	576272
T7Hi	24227	24818	T7p46	11	41971
T7Hi	24841	27226	T7p47	12	132206
T7Hi	27306	27723	T7p48	13	75597
T7Hi	27727	28318	T7p49	14	193701
T7Hi	28324	30568	T7p50	15	602960
T7Hi	30594	34551	T7p51	16	848719
T7Hi	34623	36285	T7p52	17	1002465
T7Hi	36343	36547	T7p53	17.5	101604
T7Hi	36552	36822	T7p54	18	118719
T7Hi	36916	37348	T7p55	18.5	212477
T7Hi	37031	37283	T7p56	18.7	109889
T7Hi	37369	39130	T7p57	19	627268
T7Hi	38015	38273	T7p58	19.2	128125
T7Hi	38552	38726	T7p59	19.3	86556
T7Hi	39388	39538	T7p60	19.5	184619
